fund_name,fund_house,category,sub_category,asset_class,fund_type,sector,combined_text
ICICI Prudential Technology Fund,ICICI Prudential,Equity,Sectoral,Equity,Open Ended,Technology,ICICI Prudential Technology Fund. fund_house: ICICI Prudential. category: Equity. sub_category: Sectoral. asset_class: Equity. fund_type: Open Ended. sector: Technology
SBI Blue Chip Fund,SBI Mutual Fund,Equity,Large Cap,Equity,Open Ended,Diversified,SBI Blue Chip Fund. fund_house: SBI Mutual Fund. category: Equity. sub_category: Large Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
HDFC Top 100 Fund,HDFC Mutual Fund,Equity,Large Cap,Equity,Open Ended,Diversified,HDFC Top 100 Fund. fund_house: HDFC Mutual Fund. category: Equity. sub_category: Large Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
Axis Bluechip Fund,Axis Mutual Fund,Equity,Large Cap,Equity,Open Ended,Diversified,Axis Bluechip Fund. fund_house: Axis Mutual Fund. category: Equity. sub_category: Large Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
Mirae Asset Large Cap Fund,Mirae Asset,Equity,Large Cap,Equity,Open Ended,Diversified,Mirae Asset Large Cap Fund. fund_house: Mirae Asset. category: Equity. sub_category: Large Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
Kotak Emerging Equity Fund,Kotak Mahindra,Equity,Mid Cap,Equity,Open Ended,Diversified,Kotak Emerging Equity Fund. fund_house: Kotak Mahindra. category: Equity. sub_category: Mid Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
ICICI Prudential Value Discovery Fund,ICICI Prudential,Equity,Value,Equity,Open Ended,Diversified,ICICI Prudential Value Discovery Fund. fund_house: ICICI Prudential. category: Equity. sub_category: Value. asset_class: Equity. fund_type: Open Ended. sector: Diversified
SBI Small Cap Fund,SBI Mutual Fund,Equity,Small Cap,Equity,Open Ended,Diversified,SBI Small Cap Fund. fund_house: SBI Mutual Fund. category: Equity. sub_category: Small Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
Nippon India Small Cap Fund,Nippon India,Equity,Small Cap,Equity,Open Ended,Diversified,Nippon India Small Cap Fund. fund_house: Nippon India. category: Equity. sub_category: Small Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
Aditya Birla Sun Life Digital India Fund,Aditya Birla Sun Life,Equity,Sectoral,Equity,Open Ended,Technology,Aditya Birla Sun Life Digital India Fund. fund_house: Aditya Birla Sun Life. category: Equity. sub_category: Sectoral. asset_class: Equity. fund_type: Open Ended. sector: Technology
HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Equity,Mid Cap,Equity,Open Ended,Diversified,HDFC Mid-Cap Opportunities Fund. fund_house: HDFC Mutual Fund. category: Equity. sub_category: Mid Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
DSP Midcap Fund,DSP,Equity,Mid Cap,Equity,Open Ended,Diversified,DSP Midcap Fund. fund_house: DSP. category: Equity. sub_category: Mid Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
Tata Digital India Fund,Tata Mutual Fund,Equity,Sectoral,Equity,Open Ended,Technology,Tata Digital India Fund. fund_house: Tata Mutual Fund. category: Equity. sub_category: Sectoral. asset_class: Equity. fund_type: Open Ended. sector: Technology
Axis Midcap Fund,Axis Mutual Fund,Equity,Mid Cap,Equity,Open Ended,Diversified,Axis Midcap Fund. fund_house: Axis Mutual Fund. category: Equity. sub_category: Mid Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
ICICI Prudential Banking and Financial Services Fund,ICICI Prudential,Equity,Sectoral,Equity,Open Ended,Banking & Financial Services,ICICI Prudential Banking and Financial Services Fund. fund_house: ICICI Prudential. category: Equity. sub_category: Sectoral. asset_class: Equity. fund_type: Open Ended. sector: Banking & Financial Services
SBI Banking & Financial Services Fund,SBI Mutual Fund,Equity,Sectoral,Equity,Open Ended,Banking & Financial Services,SBI Banking & Financial Services Fund. fund_house: SBI Mutual Fund. category: Equity. sub_category: Sectoral. asset_class: Equity. fund_type: Open Ended. sector: Banking & Financial Services
Mirae Asset Emerging Bluechip Fund,Mirae Asset,Equity,Large & Mid Cap,Equity,Open Ended,Diversified,Mirae Asset Emerging Bluechip Fund. fund_house: Mirae Asset. category: Equity. sub_category: Large & Mid Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
Kotak Standard Multicap Fund,Kotak Mahindra,Equity,Multi Cap,Equity,Open Ended,Diversified,Kotak Standard Multicap Fund. fund_house: Kotak Mahindra. category: Equity. sub_category: Multi Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
Aditya Birla Sun Life Frontline Equity Fund,Aditya Birla Sun Life,Equity,Large Cap,Equity,Open Ended,Diversified,Aditya Birla Sun Life Frontline Equity Fund. fund_house: Aditya Birla Sun Life. category: Equity. sub_category: Large Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
UTI Nifty Index Fund,UTI,Equity,Index Fund,Equity,Open Ended,Diversified,UTI Nifty Index Fund. fund_house: UTI. category: Equity. sub_category: Index Fund. asset_class: Equity. fund_type: Open Ended. sector: Diversified
HDFC Index Fund-NIFTY 50 Plan,HDFC Mutual Fund,Equity,Index Fund,Equity,Open Ended,Diversified,HDFC Index Fund-NIFTY 50 Plan. fund_house: HDFC Mutual Fund. category: Equity. sub_category: Index Fund. asset_class: Equity. fund_type: Open Ended. sector: Diversified
SBI Nifty Index Fund,SBI Mutual Fund,Equity,Index Fund,Equity,Open Ended,Diversified,SBI Nifty Index Fund. fund_house: SBI Mutual Fund. category: Equity. sub_category: Index Fund. asset_class: Equity. fund_type: Open Ended. sector: Diversified
ICICI Prudential Nifty Index Fund,ICICI Prudential,Equity,Index Fund,Equity,Open Ended,Diversified,ICICI Prudential Nifty Index Fund. fund_house: ICICI Prudential. category: Equity. sub_category: Index Fund. asset_class: Equity. fund_type: Open Ended. sector: Diversified
HDFC Hybrid Equity Fund,HDFC Mutual Fund,Hybrid,Aggressive Hybrid,Hybrid,Open Ended,Diversified,HDFC Hybrid Equity Fund. fund_house: HDFC Mutual Fund. category: Hybrid. sub_category: Aggressive Hybrid. asset_class: Hybrid. fund_type: Open Ended. sector: Diversified
ICICI Prudential Equity & Debt Fund,ICICI Prudential,Hybrid,Aggressive Hybrid,Hybrid,Open Ended,Diversified,ICICI Prudential Equity & Debt Fund. fund_house: ICICI Prudential. category: Hybrid. sub_category: Aggressive Hybrid. asset_class: Hybrid. fund_type: Open Ended. sector: Diversified
SBI Equity Hybrid Fund,SBI Mutual Fund,Hybrid,Aggressive Hybrid,Hybrid,Open Ended,Diversified,SBI Equity Hybrid Fund. fund_house: SBI Mutual Fund. category: Hybrid. sub_category: Aggressive Hybrid. asset_class: Hybrid. fund_type: Open Ended. sector: Diversified
Kotak Equity Hybrid Fund,Kotak Mahindra,Hybrid,Aggressive Hybrid,Hybrid,Open Ended,Diversified,Kotak Equity Hybrid Fund. fund_house: Kotak Mahindra. category: Hybrid. sub_category: Aggressive Hybrid. asset_class: Hybrid. fund_type: Open Ended. sector: Diversified
Axis Bluechip Fund - Direct Plan,Axis Mutual Fund,Equity,Large Cap,Equity,Open Ended,Diversified,Axis Bluechip Fund - Direct Plan. fund_house: Axis Mutual Fund. category: Equity. sub_category: Large Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
HDFC Balanced Advantage Fund,HDFC Mutual Fund,Hybrid,Dynamic Asset Allocation,Hybrid,Open Ended,Diversified,HDFC Balanced Advantage Fund. fund_house: HDFC Mutual Fund. category: Hybrid. sub_category: Dynamic Asset Allocation. asset_class: Hybrid. fund_type: Open Ended. sector: Diversified
ICICI Prudential Balanced Advantage Fund,ICICI Prudential,Hybrid,Dynamic Asset Allocation,Hybrid,Open Ended,Diversified,ICICI Prudential Balanced Advantage Fund. fund_house: ICICI Prudential. category: Hybrid. sub_category: Dynamic Asset Allocation. asset_class: Hybrid. fund_type: Open Ended. sector: Diversified
ICICI Prudential Multi-Asset Fund,ICICI Prudential,Hybrid,Multi Asset Allocation,Hybrid,Open Ended,Diversified,ICICI Prudential Multi-Asset Fund. fund_house: ICICI Prudential. category: Hybrid. sub_category: Multi Asset Allocation. asset_class: Hybrid. fund_type: Open Ended. sector: Diversified
SBI Magnum Multi Cap Fund,SBI Mutual Fund,Equity,Multi Cap,Equity,Open Ended,Diversified,SBI Magnum Multi Cap Fund. fund_house: SBI Mutual Fund. category: Equity. sub_category: Multi Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
HDFC Small Cap Fund,HDFC Mutual Fund,Equity,Small Cap,Equity,Open Ended,Diversified,HDFC Small Cap Fund. fund_house: HDFC Mutual Fund. category: Equity. sub_category: Small Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
Axis Small Cap Fund,Axis Mutual Fund,Equity,Small Cap,Equity,Open Ended,Diversified,Axis Small Cap Fund. fund_house: Axis Mutual Fund. category: Equity. sub_category: Small Cap. asset_class: Equity. fund_type: Open Ended. sector: Diversified
ICICI Prudential Liquid Fund,ICICI Prudential,Debt,Liquid,Debt,Open Ended,Debt,ICICI Prudential Liquid Fund. fund_house: ICICI Prudential. category: Debt. sub_category: Liquid. asset_class: Debt. fund_type: Open Ended. sector: Debt
SBI Liquid Fund,SBI Mutual Fund,Debt,Liquid,Debt,Open Ended,Debt,SBI Liquid Fund. fund_house: SBI Mutual Fund. category: Debt. sub_category: Liquid. asset_class: Debt. fund_type: Open Ended. sector: Debt
HDFC Liquid Fund,HDFC Mutual Fund,Debt,Liquid,Debt,Open Ended,Debt,HDFC Liquid Fund. fund_house: HDFC Mutual Fund. category: Debt. sub_category: Liquid. asset_class: Debt. fund_type: Open Ended. sector: Debt
