query,security_name
Is it beneficial to hold Union Overnight Fund long-term?,Union Overnight Fund
Is SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days) better than other similar funds?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What's the growth option NAV of UTI Money Market Fund?,UTI Money Market Fund
Can you provide details about the dividend option in ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
What is the NAV of Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
What's the performance of ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
Should I consider investing in SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What was the return of Canara Robeco ELSS Tax Saver in the past 6 months?,Canara Robeco ELSS Tax Saver
Is Kotak Focused Equity Fund better than other similar funds?,Kotak Focused Equity Fund
How is Kotak Bluechip Fund rated by AMFI?,Kotak Bluechip Fund
What was the last month's return of Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
Can you provide details about the dividend option in Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
What was the last month's return of ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
Does Groww Nifty EV & New Age Automotive ETF FOF have any lock-in period?,Groww Nifty EV & New Age Automotive ETF FOF
What are the recent returns for Union Overnight Fund?,Union Overnight Fund
Can you provide the recent NAV for ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
How has Union Overnight Fund performed over the last year?,Union Overnight Fund
Can I start an SIP with Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Can you provide details about the dividend option in DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
How is Bandhan Credit Risk Fund rated by AMFI?,Bandhan Credit Risk Fund
How is Groww Nifty EV & New Age Automotive ETF FOF rated by AMFI?,Groww Nifty EV & New Age Automotive ETF FOF
Can I start an SIP with Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Is DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days a good investment for SIP?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What are the recent returns for Kotak Focused Equity Fund?,Kotak Focused Equity Fund
What's the asset allocation of SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What's the dividend frequency for Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
Can I start an SIP with Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
What's the dividend frequency for Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
What's the dividend frequency for Kotak Bluechip Fund?,Kotak Bluechip Fund
What is the minimum investment required for Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
What's the Sharpe Ratio of Kotak Focused Equity Fund?,Kotak Focused Equity Fund
